sequence,eventTimeSec,eventTick,eventType,eventTaskId,eventTaskName,eventJobId,eventJobRow,eventResource
4722,3.25,32500,start,1,Sensor,651,1574,vehicle_sensor_cpu
4723,3.25,32500,start,2,Estimator,326,1575,cloud_cpu_1
4724,3.2506,32506,finish,1,Sensor,651,1574,vehicle_sensor_cpu
4725,3.2509,32509,finish,2,Estimator,326,1575,cloud_cpu_1
4726,3.255,32550,release,1,Sensor,652,1576,vehicle_sensor_cpu
4727,3.255,32550,start,1,Sensor,652,1576,vehicle_sensor_cpu
4728,3.2556,32556,finish,1,Sensor,652,1576,vehicle_sensor_cpu
4729,3.26,32600,release,1,Sensor,653,1577,vehicle_sensor_cpu
4730,3.26,32600,release,2,Estimator,327,1578,cloud_cpu_1
4731,3.26,32600,release,3,Controller,164,1579,cloud_cpu_1
4732,3.26,32600,release,4,Feedforward,164,1580,cloud_cpu_1
4733,3.26,32600,release,5,Merger,164,1581,cloud_cpu_1
4734,3.26,32600,start,1,Sensor,653,1577,vehicle_sensor_cpu
4735,3.26,32600,start,2,Estimator,327,1578,cloud_cpu_1
4736,3.2606,32606,finish,1,Sensor,653,1577,vehicle_sensor_cpu
4737,3.2609,32609,finish,2,Estimator,327,1578,cloud_cpu_1
4738,3.2609,32609,start,3,Controller,164,1579,cloud_cpu_1
4739,3.2612,32612,finish,3,Controller,164,1579,cloud_cpu_1
4740,3.2612,32612,start,4,Feedforward,164,1580,cloud_cpu_1
4741,3.2624,32624,finish,4,Feedforward,164,1580,cloud_cpu_1
4742,3.2624,32624,start,5,Merger,164,1581,cloud_cpu_1
4743,3.2627,32627,finish,5,Merger,164,1581,cloud_cpu_1
4744,3.265,32650,release,1,Sensor,654,1582,vehicle_sensor_cpu
4745,3.265,32650,start,1,Sensor,654,1582,vehicle_sensor_cpu
4746,3.2656,32656,finish,1,Sensor,654,1582,vehicle_sensor_cpu
4747,3.27,32700,release,1,Sensor,655,1583,vehicle_sensor_cpu
4748,3.27,32700,release,2,Estimator,328,1584,cloud_cpu_1
4749,3.27,32700,release,6,Actuator,110,1585,vehicle_actuator_cpu
4750,3.27,32700,start,1,Sensor,655,1583,vehicle_sensor_cpu
4751,3.27,32700,start,2,Estimator,328,1584,cloud_cpu_1
4752,3.27,32700,start,6,Actuator,110,1585,vehicle_actuator_cpu
4753,3.2705,32705,finish,6,Actuator,110,1585,vehicle_actuator_cpu
