eventTick,eventTimeSec,triggerColumn,triggerName
1805,0.1805,16,actuator_finished
1806,0.1806,2,sensor_finished
1807,0.1807,3,uplink_sent
1809,0.1809,6,estimator_finished
1812,0.1812,10,feedforward_finished
1837,0.1837,4,uplink_received
1850,0.185,1,sensor_activated
1856,0.1856,2,sensor_finished
1857,0.1857,3,uplink_sent
1884,0.1884,14,downlink_received
1887,0.1887,4,uplink_received
1900,0.19,1,sensor_activated
1900,0.19,5,estimator_activated
1906,0.1906,2,sensor_finished
1907,0.1907,3,uplink_sent
1909,0.1909,6,estimator_finished
1937,0.1937,4,uplink_received
1950,0.195,1,sensor_activated
1956,0.1956,2,sensor_finished
1957,0.1957,3,uplink_sent
1987,0.1987,4,uplink_received
2000,0.2,1,sensor_activated
2000,0.2,5,estimator_activated
2000,0.2,7,controller_activated
2000,0.2,9,feedforward_activated
2000,0.2,11,merger_activated
2003,0.2003,8,controller_finished
2003,0.2003,12,merger_finished
2004,0.2004,13,downlink_sent
2006,0.2006,2,sensor_finished
2007,0.2007,3,uplink_sent
2009,0.2009,6,estimator_finished
2012,0.2012,10,feedforward_finished
2037,0.2037,4,uplink_received
2050,0.205,1,sensor_activated
2056,0.2056,2,sensor_finished
2057,0.2057,3,uplink_sent
2084,0.2084,14,downlink_received
2087,0.2087,4,uplink_received
2100,0.21,1,sensor_activated
2100,0.21,5,estimator_activated
2100,0.21,15,actuator_activated
2105,0.2105,16,actuator_finished
2106,0.2106,2,sensor_finished
2107,0.2107,3,uplink_sent
2109,0.2109,6,estimator_finished
2137,0.2137,4,uplink_received
2150,0.215,1,sensor_activated
2156,0.2156,2,sensor_finished
2157,0.2157,3,uplink_sent
2187,0.2187,4,uplink_received
2200,0.22,1,sensor_activated
2200,0.22,5,estimator_activated
2200,0.22,7,controller_activated
2200,0.22,9,feedforward_activated
2200,0.22,11,merger_activated
2203,0.2203,8,controller_finished
2203,0.2203,12,merger_finished
2204,0.2204,13,downlink_sent
2206,0.2206,2,sensor_finished
2207,0.2207,3,uplink_sent
2209,0.2209,6,estimator_finished
2212,0.2212,10,feedforward_finished
2237,0.2237,4,uplink_received
2250,0.225,1,sensor_activated
2256,0.2256,2,sensor_finished
2257,0.2257,3,uplink_sent
2284,0.2284,14,downlink_received
2287,0.2287,4,uplink_received
2300,0.23,1,sensor_activated
2300,0.23,5,estimator_activated
2306,0.2306,2,sensor_finished
2307,0.2307,3,uplink_sent
2309,0.2309,6,estimator_finished
2337,0.2337,4,uplink_received
2350,0.235,1,sensor_activated
2356,0.2356,2,sensor_finished
2357,0.2357,3,uplink_sent
2387,0.2387,4,uplink_received
2400,0.24,1,sensor_activated
2400,0.24,5,estimator_activated
2400,0.24,7,controller_activated
2400,0.24,9,feedforward_activated
2400,0.24,11,merger_activated
2400,0.24,15,actuator_activated
2403,0.2403,8,controller_finished
2403,0.2403,12,merger_finished
2404,0.2404,13,downlink_sent
2405,0.2405,16,actuator_finished
2406,0.2406,2,sensor_finished
2407,0.2407,3,uplink_sent
2409,0.2409,6,estimator_finished
2412,0.2412,10,feedforward_finished
2437,0.2437,4,uplink_received
2450,0.245,1,sensor_activated
2456,0.2456,2,sensor_finished
2457,0.2457,3,uplink_sent
2484,0.2484,14,downlink_received
2487,0.2487,4,uplink_received
2500,0.25,1,sensor_activated
2500,0.25,5,estimator_activated
2506,0.2506,2,sensor_finished
2507,0.2507,3,uplink_sent
2509,0.2509,6,estimator_finished
2537,0.2537,4,uplink_received
2550,0.255,1,sensor_activated
2556,0.2556,2,sensor_finished
2557,0.2557,3,uplink_sent
2587,0.2587,4,uplink_received
2600,0.26,1,sensor_activated
2600,0.26,5,estimator_activated
2600,0.26,7,controller_activated
2600,0.26,9,feedforward_activated
2600,0.26,11,merger_activated
2603,0.2603,8,controller_finished
2603,0.2603,12,merger_finished
2604,0.2604,13,downlink_sent
2606,0.2606,2,sensor_finished
2607,0.2607,3,uplink_sent
2609,0.2609,6,estimator_finished
2612,0.2612,10,feedforward_finished
2637,0.2637,4,uplink_received
2650,0.265,1,sensor_activated
2656,0.2656,2,sensor_finished
2657,0.2657,3,uplink_sent
2684,0.2684,14,downlink_received
2687,0.2687,4,uplink_received
2700,0.27,1,sensor_activated
2700,0.27,5,estimator_activated
2700,0.27,15,actuator_activated
2705,0.2705,16,actuator_finished
2706,0.2706,2,sensor_finished
2707,0.2707,3,uplink_sent
2709,0.2709,6,estimator_finished
2737,0.2737,4,uplink_received
2750,0.275,1,sensor_activated
2756,0.2756,2,sensor_finished
2757,0.2757,3,uplink_sent
2787,0.2787,4,uplink_received
2800,0.28,1,sensor_activated
2800,0.28,5,estimator_activated
2800,0.28,7,controller_activated
2800,0.28,9,feedforward_activated
2800,0.28,11,merger_activated
2803,0.2803,8,controller_finished
2803,0.2803,12,merger_finished
2804,0.2804,13,downlink_sent
2806,0.2806,2,sensor_finished
2807,0.2807,3,uplink_sent
2809,0.2809,6,estimator_finished
2812,0.2812,10,feedforward_finished
2837,0.2837,4,uplink_received
2850,0.285,1,sensor_activated
2856,0.2856,2,sensor_finished
2857,0.2857,3,uplink_sent
2884,0.2884,14,downlink_received
2887,0.2887,4,uplink_received
2900,0.29,1,sensor_activated
2900,0.29,5,estimator_activated
2906,0.2906,2,sensor_finished
2907,0.2907,3,uplink_sent
2909,0.2909,6,estimator_finished
2937,0.2937,4,uplink_received
2950,0.295,1,sensor_activated
2956,0.2956,2,sensor_finished
2957,0.2957,3,uplink_sent
2987,0.2987,4,uplink_received
3000,0.3,1,sensor_activated
3000,0.3,5,estimator_activated
3000,0.3,7,controller_activated
3000,0.3,9,feedforward_activated
3000,0.3,11,merger_activated
3000,0.3,15,actuator_activated
3003,0.3003,8,controller_finished
3003,0.3003,12,merger_finished
3004,0.3004,13,downlink_sent
3005,0.3005,16,actuator_finished
3006,0.3006,2,sensor_finished
3007,0.3007,3,uplink_sent
3009,0.3009,6,estimator_finished
3012,0.3012,10,feedforward_finished
3037,0.3037,4,uplink_received
3050,0.305,1,sensor_activated
3056,0.3056,2,sensor_finished
3057,0.3057,3,uplink_sent
3084,0.3084,14,downlink_received
3087,0.3087,4,uplink_received
3100,0.31,1,sensor_activated
3100,0.31,5,estimator_activated
3106,0.3106,2,sensor_finished
3107,0.3107,3,uplink_sent
3109,0.3109,6,estimator_finished
3137,0.3137,4,uplink_received
3150,0.315,1,sensor_activated
3156,0.3156,2,sensor_finished
3157,0.3157,3,uplink_sent
3187,0.3187,4,uplink_received
3200,0.32,1,sensor_activated
3200,0.32,5,estimator_activated
3200,0.32,7,controller_activated
3200,0.32,9,feedforward_activated
3200,0.32,11,merger_activated
3203,0.3203,8,controller_finished
3203,0.3203,12,merger_finished
3204,0.3204,13,downlink_sent
3206,0.3206,2,sensor_finished
3207,0.3207,3,uplink_sent
3209,0.3209,6,estimator_finished
3212,0.3212,10,feedforward_finished
3237,0.3237,4,uplink_received
3250,0.325,1,sensor_activated
3256,0.3256,2,sensor_finished
3257,0.3257,3,uplink_sent
3284,0.3284,14,downlink_received
3287,0.3287,4,uplink_received
3300,0.33,1,sensor_activated
3300,0.33,5,estimator_activated
3300,0.33,15,actuator_activated
3305,0.3305,16,actuator_finished
3306,0.3306,2,sensor_finished
3307,0.3307,3,uplink_sent
3309,0.3309,6,estimator_finished
3337,0.3337,4,uplink_received
3350,0.335,1,sensor_activated
3356,0.3356,2,sensor_finished
3357,0.3357,3,uplink_sent
3387,0.3387,4,uplink_received
3400,0.34,1,sensor_activated
3400,0.34,5,estimator_activated
3400,0.34,7,controller_activated
3400,0.34,9,feedforward_activated
3400,0.34,11,merger_activated
3403,0.3403,8,controller_finished
3403,0.3403,12,merger_finished
3404,0.3404,13,downlink_sent
3406,0.3406,2,sensor_finished
3407,0.3407,3,uplink_sent
3409,0.3409,6,estimator_finished
3412,0.3412,10,feedforward_finished
3437,0.3437,4,uplink_received
3450,0.345,1,sensor_activated
3456,0.3456,2,sensor_finished
3457,0.3457,3,uplink_sent
3484,0.3484,14,downlink_received
3487,0.3487,4,uplink_received
3500,0.35,1,sensor_activated
3500,0.35,5,estimator_activated
3506,0.3506,2,sensor_finished
3507,0.3507,3,uplink_sent
3509,0.3509,6,estimator_finished
3537,0.3537,4,uplink_received
3550,0.355,1,sensor_activated
3556,0.3556,2,sensor_finished
3557,0.3557,3,uplink_sent
3587,0.3587,4,uplink_received
3600,0.36,1,sensor_activated
3600,0.36,5,estimator_activated
3600,0.36,7,controller_activated
3600,0.36,9,feedforward_activated
3600,0.36,11,merger_activated
3600,0.36,15,actuator_activated
3603,0.3603,8,controller_finished
3603,0.3603,12,merger_finished
3604,0.3604,13,downlink_sent
3605,0.3605,16,actuator_finished
3606,0.3606,2,sensor_finished
3607,0.3607,3,uplink_sent
3609,0.3609,6,estimator_finished
3612,0.3612,10,feedforward_finished
3637,0.3637,4,uplink_received
3650,0.365,1,sensor_activated
3656,0.3656,2,sensor_finished
3657,0.3657,3,uplink_sent
3684,0.3684,14,downlink_received
3687,0.3687,4,uplink_received
3700,0.37,1,sensor_activated
3700,0.37,5,estimator_activated
3706,0.3706,2,sensor_finished
3707,0.3707,3,uplink_sent
3709,0.3709,6,estimator_finished
3737,0.3737,4,uplink_received
3750,0.375,1,sensor_activated
3756,0.3756,2,sensor_finished
3757,0.3757,3,uplink_sent
3787,0.3787,4,uplink_received
3800,0.38,1,sensor_activated
3800,0.38,5,estimator_activated
3800,0.38,7,controller_activated
3800,0.38,9,feedforward_activated
3800,0.38,11,merger_activated
3803,0.3803,8,controller_finished
3803,0.3803,12,merger_finished
3804,0.3804,13,downlink_sent
3806,0.3806,2,sensor_finished
3807,0.3807,3,uplink_sent
3809,0.3809,6,estimator_finished
3812,0.3812,10,feedforward_finished
3837,0.3837,4,uplink_received
3850,0.385,1,sensor_activated
3856,0.3856,2,sensor_finished
3857,0.3857,3,uplink_sent
3884,0.3884,14,downlink_received
3887,0.3887,4,uplink_received
3900,0.39,1,sensor_activated
3900,0.39,5,estimator_activated
3900,0.39,15,actuator_activated
3905,0.3905,16,actuator_finished
3906,0.3906,2,sensor_finished
3907,0.3907,3,uplink_sent
3909,0.3909,6,estimator_finished
3937,0.3937,4,uplink_received
3950,0.395,1,sensor_activated
3956,0.3956,2,sensor_finished
3957,0.3957,3,uplink_sent
3987,0.3987,4,uplink_received
4000,0.4,1,sensor_activated
4000,0.4,5,estimator_activated
4000,0.4,7,controller_activated
4000,0.4,9,feedforward_activated
4000,0.4,11,merger_activated
4003,0.4003,8,controller_finished
4003,0.4003,12,merger_finished
4004,0.4004,13,downlink_sent
4006,0.4006,2,sensor_finished
4007,0.4007,3,uplink_sent
4009,0.4009,6,estimator_finished
4012,0.4012,10,feedforward_finished
4037,0.4037,4,uplink_received
4050,0.405,1,sensor_activated
4056,0.4056,2,sensor_finished
4057,0.4057,3,uplink_sent
4084,0.4084,14,downlink_received
4087,0.4087,4,uplink_received
4100,0.41,1,sensor_activated
4100,0.41,5,estimator_activated
4106,0.4106,2,sensor_finished
4107,0.4107,3,uplink_sent
4109,0.4109,6,estimator_finished
4137,0.4137,4,uplink_received
4150,0.415,1,sensor_activated
4156,0.4156,2,sensor_finished
4157,0.4157,3,uplink_sent
4187,0.4187,4,uplink_received
4200,0.42,1,sensor_activated
4200,0.42,5,estimator_activated
4200,0.42,7,controller_activated
4200,0.42,9,feedforward_activated
4200,0.42,11,merger_activated
4200,0.42,15,actuator_activated
4203,0.4203,8,controller_finished
4203,0.4203,12,merger_finished
4204,0.4204,13,downlink_sent
4205,0.4205,16,actuator_finished
4206,0.4206,2,sensor_finished
4207,0.4207,3,uplink_sent
4209,0.4209,6,estimator_finished
4212,0.4212,10,feedforward_finished
4237,0.4237,4,uplink_received
4250,0.425,1,sensor_activated
4256,0.4256,2,sensor_finished
4257,0.4257,3,uplink_sent
4284,0.4284,14,downlink_received
4287,0.4287,4,uplink_received
4300,0.43,1,sensor_activated
4300,0.43,5,estimator_activated
4306,0.4306,2,sensor_finished
4307,0.4307,3,uplink_sent
4309,0.4309,6,estimator_finished
4337,0.4337,4,uplink_received
4350,0.435,1,sensor_activated
4356,0.4356,2,sensor_finished
4357,0.4357,3,uplink_sent
4387,0.4387,4,uplink_received
4400,0.44,1,sensor_activated
4400,0.44,5,estimator_activated
4400,0.44,7,controller_activated
4400,0.44,9,feedforward_activated
4400,0.44,11,merger_activated
4403,0.4403,8,controller_finished
4403,0.4403,12,merger_finished
4404,0.4404,13,downlink_sent
4406,0.4406,2,sensor_finished
4407,0.4407,3,uplink_sent
4409,0.4409,6,estimator_finished
4412,0.4412,10,feedforward_finished
4437,0.4437,4,uplink_received
4450,0.445,1,sensor_activated
4456,0.4456,2,sensor_finished
4457,0.4457,3,uplink_sent
4484,0.4484,14,downlink_received
4487,0.4487,4,uplink_received
4500,0.45,1,sensor_activated
4500,0.45,5,estimator_activated
4500,0.45,15,actuator_activated
4505,0.4505,16,actuator_finished
4506,0.4506,2,sensor_finished
4507,0.4507,3,uplink_sent
4509,0.4509,6,estimator_finished
4537,0.4537,4,uplink_received
4550,0.455,1,sensor_activated
4556,0.4556,2,sensor_finished
4557,0.4557,3,uplink_sent
4587,0.4587,4,uplink_received
4600,0.46,1,sensor_activated
4600,0.46,5,estimator_activated
4600,0.46,7,controller_activated
4600,0.46,9,feedforward_activated
4600,0.46,11,merger_activated
4603,0.4603,8,controller_finished
4603,0.4603,12,merger_finished
4604,0.4604,13,downlink_sent
4606,0.4606,2,sensor_finished
4607,0.4607,3,uplink_sent
4609,0.4609,6,estimator_finished
4612,0.4612,10,feedforward_finished
4637,0.4637,4,uplink_received
4650,0.465,1,sensor_activated
4656,0.4656,2,sensor_finished
4657,0.4657,3,uplink_sent
4684,0.4684,14,downlink_received
4687,0.4687,4,uplink_received
4700,0.47,1,sensor_activated
4700,0.47,5,estimator_activated
4706,0.4706,2,sensor_finished
4707,0.4707,3,uplink_sent
4709,0.4709,6,estimator_finished
4737,0.4737,4,uplink_received
4750,0.475,1,sensor_activated
4756,0.4756,2,sensor_finished
4757,0.4757,3,uplink_sent
4787,0.4787,4,uplink_received
4800,0.48,1,sensor_activated
4800,0.48,5,estimator_activated
4800,0.48,7,controller_activated
4800,0.48,9,feedforward_activated
4800,0.48,11,merger_activated
4800,0.48,15,actuator_activated
4803,0.4803,8,controller_finished
4803,0.4803,12,merger_finished
4804,0.4804,13,downlink_sent
4805,0.4805,16,actuator_finished
4806,0.4806,2,sensor_finished
4807,0.4807,3,uplink_sent
4809,0.4809,6,estimator_finished
4812,0.4812,10,feedforward_finished
4837,0.4837,4,uplink_received
4850,0.485,1,sensor_activated
4856,0.4856,2,sensor_finished
4857,0.4857,3,uplink_sent
4884,0.4884,14,downlink_received
4887,0.4887,4,uplink_received
4900,0.49,1,sensor_activated
4900,0.49,5,estimator_activated
4906,0.4906,2,sensor_finished
4907,0.4907,3,uplink_sent
4909,0.4909,6,estimator_finished
4937,0.4937,4,uplink_received
4950,0.495,1,sensor_activated
4956,0.4956,2,sensor_finished
4957,0.4957,3,uplink_sent
4987,0.4987,4,uplink_received
5000,0.5,1,sensor_activated
5000,0.5,5,estimator_activated
5000,0.5,7,controller_activated
5000,0.5,9,feedforward_activated
5000,0.5,11,merger_activated
5003,0.5003,8,controller_finished
5003,0.5003,12,merger_finished
5004,0.5004,13,downlink_sent
5006,0.5006,2,sensor_finished
5007,0.5007,3,uplink_sent
5009,0.5009,6,estimator_finished
5012,0.5012,10,feedforward_finished
5037,0.5037,4,uplink_received
5050,0.505,1,sensor_activated
5056,0.5056,2,sensor_finished
5057,0.5057,3,uplink_sent
5084,0.5084,14,downlink_received
5087,0.5087,4,uplink_received
5100,0.51,1,sensor_activated
5100,0.51,5,estimator_activated
5100,0.51,15,actuator_activated
5105,0.5105,16,actuator_finished
5106,0.5106,2,sensor_finished
5107,0.5107,3,uplink_sent
5109,0.5109,6,estimator_finished
5137,0.5137,4,uplink_received
5150,0.515,1,sensor_activated
5156,0.5156,2,sensor_finished
5157,0.5157,3,uplink_sent
5187,0.5187,4,uplink_received
5200,0.52,1,sensor_activated
5200,0.52,5,estimator_activated
5200,0.52,7,controller_activated
5200,0.52,9,feedforward_activated
5200,0.52,11,merger_activated
5203,0.5203,8,controller_finished
5203,0.5203,12,merger_finished
5204,0.5204,13,downlink_sent
5206,0.5206,2,sensor_finished
5207,0.5207,3,uplink_sent
5209,0.5209,6,estimator_finished
5212,0.5212,10,feedforward_finished
5237,0.5237,4,uplink_received
5250,0.525,1,sensor_activated
5256,0.5256,2,sensor_finished
5257,0.5257,3,uplink_sent
5284,0.5284,14,downlink_received
5287,0.5287,4,uplink_received
5300,0.53,1,sensor_activated
5300,0.53,5,estimator_activated
5306,0.5306,2,sensor_finished
5307,0.5307,3,uplink_sent
5309,0.5309,6,estimator_finished
5337,0.5337,4,uplink_received
5350,0.535,1,sensor_activated
5356,0.5356,2,sensor_finished
5357,0.5357,3,uplink_sent
5387,0.5387,4,uplink_received
5400,0.54,1,sensor_activated
5400,0.54,5,estimator_activated
5400,0.54,7,controller_activated
5400,0.54,9,feedforward_activated
5400,0.54,11,merger_activated
5400,0.54,15,actuator_activated
5403,0.5403,8,controller_finished
5403,0.5403,12,merger_finished
5404,0.5404,13,downlink_sent
5405,0.5405,16,actuator_finished
5406,0.5406,2,sensor_finished
5407,0.5407,3,uplink_sent
5409,0.5409,6,estimator_finished
5412,0.5412,10,feedforward_finished
5437,0.5437,4,uplink_received
5450,0.545,1,sensor_activated
5456,0.5456,2,sensor_finished
5457,0.5457,3,uplink_sent
5484,0.5484,14,downlink_received
5487,0.5487,4,uplink_received
5500,0.55,1,sensor_activated
5500,0.55,5,estimator_activated
5506,0.5506,2,sensor_finished
5507,0.5507,3,uplink_sent
5509,0.5509,6,estimator_finished
5537,0.5537,4,uplink_received
5550,0.555,1,sensor_activated
5556,0.5556,2,sensor_finished
5557,0.5557,3,uplink_sent
5587,0.5587,4,uplink_received
5600,0.56,1,sensor_activated
5600,0.56,5,estimator_activated
5600,0.56,7,controller_activated
5600,0.56,9,feedforward_activated
5600,0.56,11,merger_activated
5603,0.5603,8,controller_finished
5603,0.5603,12,merger_finished
5604,0.5604,13,downlink_sent
5606,0.5606,2,sensor_finished
5607,0.5607,3,uplink_sent
5609,0.5609,6,estimator_finished
5612,0.5612,10,feedforward_finished
5637,0.5637,4,uplink_received
5650,0.565,1,sensor_activated
5656,0.5656,2,sensor_finished
5657,0.5657,3,uplink_sent
5684,0.5684,14,downlink_received
5687,0.5687,4,uplink_received
5700,0.57,1,sensor_activated
5700,0.57,5,estimator_activated
5700,0.57,15,actuator_activated
5705,0.5705,16,actuator_finished
5706,0.5706,2,sensor_finished
5707,0.5707,3,uplink_sent
5709,0.5709,6,estimator_finished
5737,0.5737,4,uplink_received
5750,0.575,1,sensor_activated
5756,0.5756,2,sensor_finished
5757,0.5757,3,uplink_sent
5787,0.5787,4,uplink_received
5800,0.58,1,sensor_activated
5800,0.58,5,estimator_activated
5800,0.58,7,controller_activated
